County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,Year Last Documented,NY Listing Status,Federal Listing Status,State Conservation Rank,Global Conservation Rank,Distribution Status
Yates,Animal,Amphibians,Frogs and Toads,Anaxyrus americanus,American Toad,1990,Game with open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Amphibians,Frogs and Toads,Hyla versicolor,Gray Treefrog,1990,Game with open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Amphibians,Frogs and Toads,Lithobates catesbeianus,Bullfrog,1990,Game with open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Amphibians,Frogs and Toads,Lithobates clamitans,Green Frog,1990,Game with open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Amphibians,Frogs and Toads,Lithobates palustris,Pickerel Frog,1990,Game with open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Amphibians,Frogs and Toads,Lithobates pipiens,Northern Leopard Frog,1990,Game with open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Amphibians,Frogs and Toads,Lithobates sylvaticus,Wood Frog,1990,Game with open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Amphibians,Frogs and Toads,Pseudacris crucifer,Spring Peeper,1990,Game with open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Amphibians,Frogs and Toads,Pseudacris triseriata,Western Chorus Frog,1990,Game with open season,not listed,S2S3,G5,Recently Confirmed
Yates,Animal,Amphibians,Salamanders,Ambystoma jeffersonianum,Jefferson Salamander,1990,Special Concern,not listed,S4,G4,Recently Confirmed
Yates,Animal,Amphibians,Salamanders,Ambystoma laterale,Blue-spotted Salamander,1990,Special Concern,not listed,S3,G5,Recently Confirmed
Yates,Animal,Amphibians,Salamanders,Ambystoma maculatum,Spotted Salamander,1990,Game with no open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Amphibians,Salamanders,Desmognathus fuscus,Dusky Salamander,1990,Game with no open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Amphibians,Salamanders,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,1990,Game with no open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Amphibians,Salamanders,Eurycea bislineata,Northern Two-lined Salamander,1990,Game with no open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Amphibians,Salamanders,Gyrinophilus porphyriticus,Spring Salamander,1990,Game with no open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Amphibians,Salamanders,Notophthalmus viridescens,Eastern Newt,1990,Game with no open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Amphibians,Salamanders,Plethodon cinereus,Redback Salamander,1990,Game with no open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Amphibians,Salamanders,Plethodon glutinosus,Northern Slimy Salamander,1990,Game with no open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Beetles,Lady Beetles,Coccinella trifasciata,Three-banded Lady Beetle,not available,not listed,not listed,S2S3,G5,Recently Confirmed
Yates,Animal,Birds,Blackbirds and Orioles,Agelaius phoeniceus,Red-winged Blackbird,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Blackbirds and Orioles,Dolichonyx oryzivorus,Bobolink,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Blackbirds and Orioles,Icterus galbula,Baltimore Oriole,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Blackbirds and Orioles,Icterus spurius,Orchard Oriole,2000-2005,Protected Bird,not listed,S4B,G5,Recently Confirmed
Yates,Animal,Birds,Blackbirds and Orioles,Molothrus ater,Brown-headed Cowbird,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Blackbirds and Orioles,Quiscalus quiscula,Common Grackle,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Blackbirds and Orioles,Sturnella magna,Eastern Meadowlark,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Cardinals and Buntings,Cardinalis cardinalis,Northern Cardinal,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Yates,Animal,Birds,Cardinals and Buntings,Passerina cyanea,Indigo Bunting,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Cardinals and Buntings,Pheucticus ludovicianus,Rose-breasted Grosbeak,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Cardinals and Buntings,Piranga olivacea,Scarlet Tanager,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Chickadees and Titmice,Baeolophus bicolor,Tufted Titmouse,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Yates,Animal,Birds,Chickadees and Titmice,Poecile atricapillus,Black-capped Chickadee,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Yates,Animal,Birds,Creepers,Certhia americana,Brown Creeper,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Yates,Animal,Birds,Crows and Jays,Corvus brachyrhynchos,American Crow,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Birds,Crows and Jays,Corvus corax,Common Raven,2000-2005,Protected Bird,not listed,S4,G5,Recently Confirmed
Yates,Animal,Birds,Crows and Jays,Cyanocitta cristata,Blue Jay,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Yates,Animal,Birds,Cuckoos,Coccyzus americanus,Yellow-billed Cuckoo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Cuckoos,Coccyzus erythropthalmus,Black-billed Cuckoo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,"Ducks, Geese, Waterfowl",Aix sponsa,Wood Duck,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Birds,"Ducks, Geese, Waterfowl",Anas crecca,Green-winged Teal,2000-2005,Protected Bird - Game with open season,not listed,S3,G5,Recently Confirmed
Yates,Animal,Birds,"Ducks, Geese, Waterfowl",Anas platyrhynchos,Mallard,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Birds,"Ducks, Geese, Waterfowl",Anas rubripes,American Black Duck,2000-2005,Protected Bird - Game with open season,not listed,"S3B,SNRN",G5,Recently Confirmed
Yates,Animal,Birds,"Ducks, Geese, Waterfowl",Aythya americana,Redhead,2000-2005,Protected Bird - Game with open season,not listed,SNA,G5,Recently Confirmed
