County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,Year Last Documented,NY Listing Status,Federal Listing Status,State Conservation Rank,Global Conservation Rank,Distribution Status
Yates,Animal,Amphibians,Frogs and Toads,Anaxyrus americanus,American Toad,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Amphibians,Frogs and Toads,Hyla versicolor,Gray Treefrog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Amphibians,Frogs and Toads,Lithobates catesbeianus,Bullfrog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Beetles,Lady Beetles,Coccinella trifasciata,Three-banded Lady Beetle,not available,not listed,not listed,S2S3,G5,Recently Confirmed
Yates,Animal,Birds,Blackbirds and Orioles,Agelaius phoeniceus,Red-winged Blackbird,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Blackbirds and Orioles,Dolichonyx oryzivorus,Bobolink,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Blackbirds and Orioles,Icterus galbula,Baltimore Oriole,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Blackbirds and Orioles,Icterus spurius,Orchard Oriole,2000-2005,Protected Bird,not listed,S4B,G5,Recently Confirmed
Yates,Animal,Birds,Blackbirds and Orioles,Molothrus ater,Brown-headed Cowbird,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Butterflies and Moths,Butterflies and Skippers,Erynnis persius persius,Persius Duskywing,1918,Endangered,not listed,S1,G5T1T3,Historically Confirmed
Yates,Animal,Fish,"Minnows, Shiners, Suckers",Erimyzon sucetta,Lake Chubsucker,not available,Threatened,not listed,SH,G5,Historically Confirmed
Yates,Animal,Fish,"Minnows, Shiners, Suckers",Notropis heterodon,Blackchin Shiner,1970,not listed,not listed,S2,G5,Historically Confirmed
Yates,Animal,Fish,"Minnows, Shiners, Suckers",Notropis heterolepis,Blacknose Shiner,1985,not listed,not listed,S2S3,G5,Historically Confirmed
Yates,Animal,Mammals,Bats,Lasionycteris noctivagans,Silver-haired Bat,not available,not listed,not listed,S2S3B,G3G4,Historically Confirmed
Yates,Animal,Mammals,Bats,Myotis septentrionalis,Northern Long-eared Bat,not available,Threatened,Threatened,S1,G2G3,Historically Confirmed
Yates,Animal,Mammals,Bats,Perimyotis subflavus,Tri-colored Bat,not available,not listed,not listed,S1,G3G4,Historically Confirmed
Yates,Animal,Other Animals,Other Animals,Apalone spinifera,Spiny Softshell,2021,Special Concern,not listed,S2S3,G5,Recently Confirmed
Yates,Animal,Other Animals,Other Animals,Chelydra serpentina,Snapping Turtle,1990-1999,Game with open season,not listed,S4S5,G5,Recently Confirmed
Yates,Animal,Other Animals,Other Animals,Chrysemys picta,Painted Turtle,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Yates,Animal,Reptiles,Lizards,Plestiodon anthracinus,Coal Skink,not available,Game with no open season,not listed,S2S3,G5,Historically Confirmed
Yates,Animal,Reptiles,Snakes,Coluber constrictor,Racer,1990-1999,Game with no open season,not listed,S4,G5,Recently Confirmed
Yates,Animal,Reptiles,Snakes,Crotalus horridus,Timber Rattlesnake,not available,Threatened,not listed,S3,G4,Extirpated
Yates,Plant,Ferns and Fern Allies,Ferns,Cryptogramma stelleri,Slender Cliffbrake,not available,not listed,not listed,S4,G5,Historically Confirmed
Yates,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Arnoglossum atriplicifolium,Pale Indian Plantain,not available,Endangered,not listed,SH,G4G5,Possible but not Confirmed
Yates,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Petasites frigidus var. palmatus,Sweet Coltsfoot,not available,Endangered,not listed,S1,G5T5,Historically Confirmed
Yates,Plant,Flowering Plants,Grasses,Dichanthelium scoparium,Velvet Rosette Grass,not available,Endangered,not listed,S1,G5,Historically Confirmed
Yates,Plant,Mosses,Other Mosses,Hyophila involuta,Rolled-leaf wet ground moss,2005,not listed,not listed,S2S3,G4G5,Recently Confirmed
